25,4
12,11
21,17
25,5
30,25
24,27
21,9
28,21
22,16
9,13
9,19
25,15
20,1
3,20
3,16
3,22
7,9
28,18
11,13
22,25
30,27
2,9
23,24
12,17
29,5
22,9
9,17
21,13
10,25
1,15
12,17
1,4
28,9
24,26
30,1
15,4
28,27
11,27
12,13
30,22
27,26
30,27
29,20
5,4
21,20
20,26
10,21
11,15
22,9
6,4
25,19
23,26
13,5
23,20
12,5
7,13
30,29
30,17
29,9
7,18
17,19
20,5
27,19
14,26
28,17
22,15
18,26
1,26
20,15
14,18
14,27
29,13
12,27
12,17
22,9
21,5
17,26
23,18
12,2
8,22
15,19
14,25
7,26
10,23
10,4
28,11
7,13
20,13
14,23
6,12
20,5
9,13
3,19
29,1
10,24
20,15
14,18
3,4
9,17
10,16
28,24
12,16
28,29
6,25
30,9
7,23
9,16
10,16
3,16
10,29
30,9
8,18
10,3
9,22
30,24
3,11
3,29
17,26
7,24
30,5
6,11
14,17
21,29
6,17
3,4
6,1
16,13
8,2
8,23
2,4
11,16
21,25
30,7
8,13
24,15
6,26
25,15
23,20
20,29
21,4
10,3
3,20
11,4
21,16
7,24
30,26
30,24
21,3
28,29
8,16
